date,value,mean_21_before,mean_21_after
2025-03-09,75000.0,67023.8,65714.3
2025-03-10,80000.0,67261.9,65000.0
2025-08-19,75000.0,66966.0,78095.2
2025-08-20,75714.3,67411.6,78299.3
2025-08-21,76428.6,67901.4,78469.4
2025-08-22,77142.9,68435.4,78605.4
2025-08-23,77857.1,69013.6,78707.5
2025-08-24,78571.4,69625.9,78775.5
2025-08-25,79285.7,70272.1,78809.5
2025-08-26,80000.0,70952.4,78809.5
2025-08-27,78333.3,71666.7,78888.9
2025-08-28,76666.7,72267.6,79047.6
2025-08-29,75000.0,72755.1,79285.7
2025-08-30,75714.3,73129.3,79549.3
2025-08-31,76428.6,73503.4,79838.4
2025-09-01,77142.9,73877.6,80153.1
2025-09-02,77857.1,74251.7,80493.2
2025-09-03,78571.4,74625.9,80731.3
2025-09-04,79285.7,75113.4,80867.3
2025-09-05,80000.0,75714.3,80901.4
2025-09-06,80000.0,76428.6,80867.3
2025-09-07,80000.0,77023.8,80765.3
2025-09-08,80000.0,77500.0,80595.2
2025-09-09,80000.0,77857.1,80357.1
2025-09-10,80000.0,78095.2,80375.0
2025-09-11,80000.0,78299.3,80394.7
2025-09-12,80000.0,78469.4,80416.7
2025-09-13,80000.0,78605.4,80441.2
2025-09-14,80000.0,78707.5,80468.8
2025-09-15,80000.0,78775.5,80500.0
2025-09-16,80000.0,78809.5,80535.7
2025-09-17,80000.0,78809.5,80576.9
2025-09-18,80000.0,78888.9,80625.0
2025-09-19,80000.0,79047.6,80681.8
2025-09-20,81250.0,79285.7,80625.0
2025-09-21,82500.0,79549.3,80416.7
2025-09-22,83750.0,79838.4,80000.0
2025-09-23,85000.0,80153.1,79285.7
2025-09-24,83571.4,80493.2,78571.4
2025-09-25,82142.9,80731.3,77857.1
2025-09-26,80714.3,80867.3,77142.9
2025-09-27,79285.7,80901.4,76428.6
2025-09-28,77857.1,80867.3,75714.3
2025-09-29,76428.6,80765.3,75000.0
2025-09-30,75000.0,80595.2,
