date,value,mean_21_before,mean_21_after
2024-09-18,15000.0,11789.4,11533.3
2024-09-25,15500.0,11636.2,11610.5
2024-10-02,15000.0,11811.4,11548.6
2024-10-23,15000.0,11548.6,12018.1
2024-10-30,15500.0,11681.9,12008.6
2024-11-06,15000.0,11890.5,11954.3
2024-11-13,16000.0,11970.5,12197.1
2024-11-20,17000.0,11937.1,12275.2
2024-11-27,17500.0,11835.2,12266.7
2024-12-04,18000.0,12101.9,11713.3
2024-12-11,17000.0,12275.2,11201.0
2025-01-15,15000.0,11122.9,12142.9
2025-01-22,15000.0,11483.8,11871.4
2025-02-18,7340.0,11287.6,10398.1
2025-02-20,7740.0,11084.8,10576.2
2025-02-21,7780.0,10839.0,10736.2
2025-03-01,7780.0,10423.8,10529.5
2025-03-03,8140.0,10103.8,10561.9
2025-03-21,8040.0,10661.0,11127.6
2025-03-24,7980.0,10569.5,11362.9
2025-03-27,7880.0,10653.3,11563.8
2025-04-02,14500.0,10577.1,11196.2
