Ngày,Giá bán lẻ (Hà Nội),Giá bán lẻ (Hà Nội)_is_interpolated,Giá thu mua (Tiền Giang),Giá thu mua (Tiền Giang)_is_interpolated,temp,humidity,precip,solarradiation,Giá bán lẻ (Hà Nội)_lag1,Giá bán lẻ (Hà Nội)_lag7,Giá bán lẻ (Hà Nội)_roll_mean7,Giá bán lẻ (Hà Nội)_roll_std7,Giá thu mua (Tiền Giang)_lag1,Giá thu mua (Tiền Giang)_lag7,Giá thu mua (Tiền Giang)_roll_mean7,Giá thu mua (Tiền Giang)_roll_std7,temp_lag1,temp_lag2,temp_lag3,temp_lag7,temp_lag14,temp_lag30,humidity_lag1,humidity_lag2,humidity_lag3,humidity_lag7,humidity_lag14,humidity_lag30,precip_lag1,precip_lag2,precip_lag3,precip_lag7,precip_lag14,precip_lag30,solarradiation_lag1,solarradiation_lag2,solarradiation_lag3,solarradiation_lag7,solarradiation_lag14,solarradiation_lag30,price_retail,price_wholesale,spread,rm7_price_retail,rm30_price_retail,std7_price_retail,std30_price_retail,rm7_price_wholesale,rm30_price_wholesale,std7_price_wholesale,std30_price_wholesale
2024-09-01,65000.0,1,27700.0,1,26.5,92.4,29.0,144.9,65000.0,62500.0,63035.71,2079.36,28600.0,29000.0,29442.86,2727.55,27.1,28.5,27.6,27.8,30.1,29.3,88.3,81.7,84.5,86.8,75.3,81.4,98.0,9.3,1.0,8.0,0.0,19.2,124.1,192.9,85.9,201.4,286.5,244.7,65000.0,27700.0,37300.0,,,,,,,,
2024-09-02,65000.0,1,28300.0,1,26.5,91.1,32.0,114.5,65000.0,61250.0,63571.43,2024.98,27700.0,27000.0,29628.57,2573.4,26.5,27.1,28.5,27.8,30.0,28.2,92.4,88.3,81.7,85.3,77.9,86.9,29.0,98.0,9.3,3.0,0.3,1.7,144.9,124.1,192.9,195.5,275.9,227.9,65000.0,28300.0,36700.0,,,,,,,,
2024-09-03,65000.0,1,30400.0,1,27.2,87.3,4.0,189.7,65000.0,60000.0,64285.71,1311.33,28300.0,30600.0,29600.0,2561.9,26.5,26.5,27.1,27.6,29.4,27.1,91.1,92.4,88.3,88.7,78.4,89.7,32.0,29.0,98.0,20.0,0.1,20.7,114.5,144.9,124.1,117.6,277.8,178.5,65000.0,30400.0,34600.0,,,,,,,,
2024-09-04,65000.0,1,32000.0,0,26.2,92.6,8.0,171.8,65000.0,61666.67,64761.9,629.94,30400.0,35000.0,29171.43,1564.94,27.2,26.5,26.5,27.4,29.3,28.2,87.3,91.1,92.4,89.5,79.8,83.9,4.0,32.0,29.0,11.0,3.0,4.8,189.7,114.5,144.9,140.7,247.7,207.0,65000.0,32000.0,33000.0,,,,,,,,
2024-09-05,65000.0,1,27400.0,1,27.9,87.1,1.1,190.4,65000.0,63333.33,65000.0,0.0,32000.0,29400.0,28885.71,1693.55,26.2,27.2,26.5,27.6,29.4,28.2,92.6,87.3,91.1,84.5,78.1,85.8,8.0,4.0,32.0,1.0,0.2,0.5,171.8,189.7,114.5,85.9,260.4,219.0,65000.0,27400.0,37600.0,,,,,,,,
2024-09-06,65000.0,0,29600.0,1,28.0,86.3,0.2,144.5,65000.0,65000.0,65000.0,0.0,27400.0,27800.0,29142.86,1636.93,27.9,26.2,27.2,28.5,28.3,29.0,87.1,92.6,87.3,81.7,84.2,82.3,1.1,8.0,4.0,9.3,0.1,12.9,190.4,171.8,189.7,192.9,187.3,205.6,65000.0,29600.0,35400.0,,,,,,,,
2024-09-07,65000.0,1,26600.0,1,28.3,87.2,5.0,185.8,65000.0,65000.0,65000.0,0.0,29600.0,28600.0,28857.14,1900.75,28.0,27.9,26.2,27.1,28.7,29.6,86.3,87.1,92.6,88.3,83.6,80.3,0.2,1.1,8.0,98.0,0.2,1.6,144.5,190.4,171.8,124.1,254.7,236.5,65000.0,26600.0,38400.0,65000.0,,0.0,,28857.14285714286,,1900.7517309888585,
2024-09-08,65000.0,1,29000.0,1,28.0,87.5,5.5,204.5,65000.0,65000.0,65000.0,0.0,26600.0,27700.0,29042.86,1831.08,28.3,28.0,27.9,26.5,27.8,29.4,87.2,86.3,87.1,92.4,86.8,82.7,5.0,0.2,1.1,29.0,8.0,15.9,185.8,144.5,190.4,144.9,201.4,261.5,65000.0,29000.0,36000.0,65000.0,,0.0,,29042.85714285714,,1831.080867372368,
2024-09-09,65000.0,1,28800.0,1,29.3,82.4,1.4,226.5,65000.0,65000.0,65000.0,0.0,29000.0,28300.0,29114.29,1806.87,28.0,28.3,28.0,26.5,27.8,30.0,87.5,87.2,86.3,91.1,85.3,80.5,5.5,5.0,0.2,32.0,3.0,2.0,204.5,185.8,144.5,114.5,195.5,260.1,65000.0,28800.0,36200.0,65000.0,,0.0,,29114.285714285714,,1806.865214885135,
2024-09-10,65000.0,0,30600.0,1,29.0,85.3,33.0,216.9,65000.0,65000.0,65000.0,0.0,28800.0,30400.0,29142.86,1831.99,29.3,28.0,28.3,27.2,27.6,30.0,82.4,87.5,87.2,87.3,88.7,79.3,1.4,5.5,5.0,4.0,20.0,8.0,226.5,204.5,185.8,189.7,117.6,257.1,65000.0,30600.0,34400.0,65000.0,,0.0,,29142.85714285714,,1831.9908504658194,
2024-09-11,65000.0,1,32000.0,0,27.5,89.1,6.0,176.1,65000.0,65000.0,65000.0,0.0,30600.0,32000.0,29142.86,1831.99,29.0,29.3,28.0,26.2,27.4,28.4,85.3,82.4,87.5,92.6,89.5,83.9,33.0,1.4,5.5,8.0,11.0,1.2,216.9,226.5,204.5,171.8,140.7,240.2,65000.0,32000.0,33000.0,65000.0,,0.0,,29142.85714285714,,1831.9908504658194,
2024-09-12,65000.0,1,29400.0,1,27.9,87.2,12.0,167.1,65000.0,65000.0,65000.0,0.0,32000.0,27400.0,29428.57,1663.04,27.5,29.0,29.3,27.9,27.6,29.4,89.1,85.3,82.4,87.1,84.5,79.9,6.0,33.0,1.4,1.1,1.0,0.1,176.1,216.9,226.5,190.4,85.9,265.1,65000.0,29400.0,35600.0,65000.0,,0.0,,29428.571428571428,,1663.0436812406,
2024-09-13,65000.0,0,31000.0,1,27.7,88.8,4.0,145.2,65000.0,65000.0,65000.0,0.0,29400.0,29600.0,29628.57,1767.97,27.9,27.5,29.0,28.0,28.5,29.8,87.2,89.1,85.3,86.3,81.7,79.8,12.0,6.0,33.0,0.2,9.3,0.2,167.1,176.1,216.9,144.5,192.9,242.8,65000.0,31000.0,34000.0,65000.0,,0.0,,29628.571428571428,,1767.9689719319983,
2024-09-14,65000.0,1,30000.0,1,27.7,87.0,16.0,66.1,65000.0,65000.0,65000.0,0.0,31000.0,26600.0,30114.29,1159.64,27.7,27.9,27.5,28.3,27.1,29.8,88.8,87.2,89.1,87.2,88.3,80.3,4.0,12.0,6.0,5.0,98.0,1.7,145.2,167.1,176.1,185.8,124.1,240.5,65000.0,30000.0,35000.0,65000.0,,0.0,,30114.285714285714,,1159.6386957849875,
2024-09-15,65000.0,1,32600.0,1,27.0,89.7,7.9,164.2,65000.0,65000.0,65000.0,0.0,30000.0,29000.0,30628.57,1363.47,27.7,27.7,27.9,28.0,26.5,29.6,87.0,88.8,87.2,87.5,92.4,80.0,16.0,4.0,12.0,5.5,29.0,0.6,66.1,145.2,167.1,204.5,144.9,253.1,65000.0,32600.0,32400.0,65000.0,,0.0,,30628.571428571428,,1363.4689651941558,
2024-09-16,65000.0,1,28000.0,1,27.8,85.7,10.6,178.9,65000.0,65000.0,65000.0,0.0,32600.0,28800.0,30514.29,1561.44,27.0,27.7,27.7,29.3,26.5,29.0,89.7,87.0,88.8,82.4,91.1,81.1,7.9,16.0,4.0,1.4,32.0,1.8,164.2,66.1,145.2,226.5,114.5,254.7,65000.0,28000.0,37000.0,65000.0,,0.0,,30514.285714285714,,1561.440116717654,
2024-09-17,65000.0,0,29000.0,1,26.3,93.1,22.3,33.8,65000.0,65000.0,65000.0,0.0,28000.0,30600.0,30285.71,1660.75,27.8,27.0,27.7,29.0,27.2,30.1,85.7,89.7,87.0,85.3,87.3,75.3,10.6,7.9,16.0,33.0,4.0,0.0,178.9,164.2,66.1,216.9,189.7,286.5,65000.0,29000.0,36000.0,65000.0,,0.0,,30285.714285714286,,1660.751407675225,
