Ngày,Giá thu mua (Lâm Đồng),Giá thu mua (Lâm Đồng)_is_interpolated,temp,humidity,precip,solarradiation,Giá thu mua (Lâm Đồng)_lag1,Giá thu mua (Lâm Đồng)_lag7,Giá thu mua (Lâm Đồng)_roll_mean7,Giá thu mua (Lâm Đồng)_roll_std7,temp_lag1,temp_lag2,temp_lag3,temp_lag7,temp_lag14,temp_lag30,humidity_lag1,humidity_lag2,humidity_lag3,humidity_lag7,humidity_lag14,humidity_lag30,precip_lag1,precip_lag2,precip_lag3,precip_lag7,precip_lag14,precip_lag30,solarradiation_lag1,solarradiation_lag2,solarradiation_lag3,solarradiation_lag7,solarradiation_lag14,solarradiation_lag30,price_retail,price_wholesale,spread,rm7_price_retail,rm30_price_retail,std7_price_retail,std30_price_retail,rm7_price_wholesale,rm30_price_wholesale,std7_price_wholesale,std30_price_wholesale
2024-09-01,88700.0,1,20.8,93.8,16.9,123.2,83820.0,87700.0,110460.0,16610.9,21.2,21.1,21.2,20.8,22.2,22.1,90.0,86.2,88.0,88.5,86.2,86.2,8.1,7.0,8.5,7.7,2.5,13.5,170.1,214.5,173.5,246.6,291.4,251.0,,88700.0,,,,,,,,,
2024-09-02,113000.0,0,21.1,93.4,27.9,194.9,88700.0,119000.0,109602.86,16247.61,20.8,21.2,21.1,20.7,22.3,21.7,93.8,90.0,86.2,91.3,85.4,89.0,16.9,8.1,7.0,23.6,6.0,19.7,123.2,170.1,214.5,211.4,286.3,261.4,,113000.0,,,,,,,,,
2024-09-03,117000.0,0,21.6,88.3,5.4,185.4,113000.0,119200.0,109288.57,16051.11,21.1,20.8,21.2,20.5,21.3,21.2,93.4,93.8,90.0,91.3,88.9,90.7,27.9,16.9,8.1,6.1,12.3,19.7,194.9,123.2,170.1,200.1,253.3,223.4,,117000.0,,,,,,,,,
2024-09-04,117200.0,0,21.1,86.6,6.1,190.7,117000.0,120700.0,108788.57,15686.78,21.6,21.1,20.8,20.8,21.5,21.2,88.3,93.4,93.8,90.4,88.9,89.2,5.4,27.9,16.9,14.6,6.5,26.2,185.4,194.9,123.2,228.4,243.9,240.6,,117200.0,,,,,,,,,
2024-09-05,119400.0,0,21.7,86.9,3.4,139.8,117200.0,121200.0,108531.43,15462.56,21.1,21.6,21.1,21.2,21.4,20.9,86.6,88.3,93.4,88.0,89.6,92.0,6.1,5.4,27.9,8.5,3.6,21.3,190.7,185.4,194.9,173.5,256.6,214.7,,119400.0,,,,,,,,,
2024-09-06,119800.0,0,21.7,88.5,13.3,149.2,119400.0,120600.0,108417.14,15361.12,21.7,21.1,21.6,21.1,21.8,21.6,86.9,86.6,88.3,86.2,86.2,90.1,3.4,6.1,5.4,7.0,4.0,20.1,139.8,190.7,185.4,214.5,247.5,235.8,,119800.0,,,,,,,,,
2024-09-07,82700.0,1,22.5,84.0,2.9,222.0,119800.0,83820.0,108257.14,15662.89,21.7,21.7,21.1,21.2,21.3,22.1,88.5,86.9,86.6,90.0,88.9,90.3,13.3,3.4,6.1,8.1,5.8,5.1,149.2,139.8,190.7,170.1,262.2,234.3,,82700.0,,,,,,108257.14285714286,,15662.892149159123,
2024-09-08,100680.0,1,22.6,86.3,5.0,227.5,82700.0,88700.0,109968.57,13701.49,22.5,21.7,21.7,20.8,20.8,22.2,84.0,88.5,86.9,93.8,88.5,88.0,2.9,13.3,3.4,16.9,7.7,4.0,222.0,149.2,139.8,123.2,246.6,257.8,,100680.0,,,,,,109968.57142857143,,13701.49314073887,
2024-09-09,113000.0,0,22.5,88.0,9.0,211.4,100680.0,113000.0,109968.57,13701.49,22.6,22.5,21.7,21.1,20.7,22.5,86.3,84.0,88.5,93.4,91.3,86.6,5.0,2.9,13.3,27.9,23.6,2.5,227.5,222.0,149.2,194.9,211.4,221.9,,113000.0,,,,,,109968.57142857143,,13701.49314073887,
2024-09-10,117000.0,0,22.1,90.4,17.0,204.5,113000.0,117000.0,109968.57,13701.49,22.5,22.6,22.5,21.6,20.5,23.0,88.0,86.3,84.0,88.3,91.3,83.1,9.0,5.0,2.9,5.4,6.1,0.6,211.4,227.5,222.0,185.4,200.1,261.2,,117000.0,,,,,,109968.57142857143,,13701.49314073887,
2024-09-11,117200.0,0,21.3,93.5,20.4,206.3,117000.0,117200.0,109968.57,13701.49,22.1,22.5,22.6,21.1,20.8,22.6,90.4,88.0,86.3,86.6,90.4,83.4,17.0,9.0,5.0,6.1,14.6,1.5,204.5,211.4,227.5,190.7,228.4,261.6,,117200.0,,,,,,109968.57142857143,,13701.49314073887,
2024-09-12,119400.0,0,21.9,88.7,10.5,192.3,117200.0,119400.0,109968.57,13701.49,21.3,22.1,22.5,21.7,21.2,22.4,93.5,90.4,88.0,86.9,88.0,85.6,20.4,17.0,9.0,3.4,8.5,1.2,206.3,204.5,211.4,139.8,173.5,284.3,,119400.0,,,,,,109968.57142857143,,13701.49314073887,
2024-09-13,119800.0,0,21.7,88.1,9.8,180.3,119400.0,119800.0,109968.57,13701.49,21.9,21.3,22.1,21.7,21.1,22.6,88.7,93.5,90.4,88.5,86.2,87.8,10.5,20.4,17.0,13.3,7.0,9.0,192.3,206.3,204.5,149.2,214.5,241.4,,119800.0,,,,,,109968.57142857143,,13701.49314073887,
2024-09-14,74720.0,1,21.5,89.2,7.9,139.1,119800.0,82700.0,108828.57,16412.27,21.7,21.9,21.3,22.5,21.2,22.2,88.1,88.7,93.5,84.0,90.0,88.0,9.8,10.5,20.4,2.9,8.1,7.1,180.3,192.3,206.3,222.0,170.1,263.0,,74720.0,,,,,,108828.57142857143,,16412.267189078855,
2024-09-15,99780.0,1,20.7,91.9,19.2,115.5,74720.0,100680.0,108700.0,16490.08,21.5,21.7,21.9,22.6,20.8,21.8,89.2,88.1,88.7,86.3,93.8,89.5,7.9,9.8,10.5,5.0,16.9,10.2,139.1,180.3,192.3,227.5,123.2,229.5,,99780.0,,,,,,108700.0,,16490.081867595443,
2024-09-16,59540.0,1,21.4,89.4,19.6,177.0,99780.0,113000.0,101062.86,24567.83,20.7,21.5,21.7,22.5,21.1,21.6,91.9,89.2,88.1,88.0,93.4,89.8,19.2,7.9,9.8,9.0,27.9,5.5,115.5,139.1,180.3,211.4,194.9,257.4,,59540.0,,,,,,101062.85714285714,,24567.833790199267,
2024-09-17,91240.0,1,21.0,94.6,17.2,99.6,59540.0,117000.0,97382.86,23696.59,21.4,20.7,21.5,22.1,21.6,22.2,89.4,91.9,89.2,90.4,88.3,86.2,19.6,19.2,7.9,17.0,5.4,2.5,177.0,115.5,139.1,204.5,185.4,291.4,,91240.0,,,,,,97382.85714285714,,23696.58886442358,
2024-09-18,57400.0,1,20.1,95.6,21.8,65.9,91240.0,117200.0,88840.0,26026.32,21.0,21.4,20.7,21.3,21.1,22.3,94.6,89.4,91.9,93.5,86.6,85.4,17.2,19.6,19.2,20.4,6.1,6.0,99.6,177.0,115.5,206.3,190.7,286.3,,57400.0,,,,,,88840.0,,26026.322572862002,
2024-09-19,94500.0,1,21.9,83.8,2.7,206.5,57400.0,119400.0,85282.86,22633.92,20.1,21.0,21.4,21.9,21.7,21.3,95.6,94.6,89.4,88.7,86.9,88.9,21.8,17.2,19.6,10.5,3.4,12.3,65.9,99.6,177.0,192.3,139.8,253.3,,94500.0,,,,,,85282.85714285714,,22633.91976237265,
2024-09-20,82260.0,1,21.3,89.7,13.7,125.8,94500.0,119800.0,79920.0,16783.67,21.9,20.1,21.0,21.7,21.7,21.5,83.8,95.6,94.6,88.1,88.5,88.9,2.7,21.8,17.2,9.8,13.3,6.5,206.5,65.9,99.6,180.3,149.2,243.9,,82260.0,,,,,,79920.0,,16783.666663356547,
2024-09-21,94020.0,1,20.7,92.3,18.3,114.8,82260.0,74720.0,82677.14,17362.34,21.3,21.9,20.1,21.5,22.5,21.4,89.7,83.8,95.6,89.2,84.0,89.6,13.7,2.7,21.8,7.9,2.9,3.6,125.8,206.5,65.9,139.1,222.0,256.6,,94020.0,,,,,,82677.14285714286,,17362.344037490726,
2024-09-22,94020.0,1,20.2,92.5,9.4,89.9,94020.0,99780.0,81854.29,16533.4,20.7,21.3,21.9,20.7,22.6,21.8,92.3,89.7,83.8,91.9,86.3,86.2,18.3,13.7,2.7,19.2,5.0,4.0,114.8,125.8,206.5,115.5,227.5,247.5,,94020.0,,,,,,81854.28571428571,,16533.395353186264,
2024-09-23,119500.0,0,21.2,85.3,1.4,155.9,94020.0,59540.0,90420.0,18465.24,20.2,20.7,21.3,21.4,22.5,21.3,92.5,92.3,89.7,89.4,88.0,88.9,9.4,18.3,13.7,19.6,9.0,5.8,89.9,114.8,125.8,177.0,211.4,262.2,,119500.0,,,,,,90420.0,,18465.24302574974,
2024-09-24,121000.0,0,21.1,88.3,6.3,163.2,119500.0,91240.0,94671.43,21808.76,21.2,20.2,20.7,21.0,22.1,20.8,85.3,92.5,92.3,94.6,90.4,88.5,1.4,9.4,18.3,17.2,17.0,7.7,155.9,89.9,114.8,99.6,204.5,246.6,,121000.0,,,,,,94671.42857142857,,21808.76232814952,
2024-09-25,120000.0,0,21.5,85.8,5.3,250.2,121000.0,57400.0,103614.29,16053.49,21.1,21.2,20.2,20.1,21.3,20.7,88.3,85.3,92.5,95.6,93.5,91.3,6.3,1.4,9.4,21.8,20.4,23.6,163.2,155.9,89.9,65.9,206.3,211.4,,120000.0,,,,,,103614.28571428571,,16053.488569095962,
2024-09-26,121000.0,0,20.6,88.0,4.3,206.4,120000.0,94500.0,107400.0,16659.12,21.5,21.1,21.2,21.9,21.9,20.5,85.8,88.3,85.3,83.8,88.7,91.3,5.3,6.3,1.4,2.7,10.5,6.1,250.2,163.2,155.9,206.5,192.3,200.1,,121000.0,,,,,,107400.0,,16659.12362640963,
2024-09-27,121600.0,0,21.2,87.1,8.2,222.4,121000.0,82260.0,113020.0,12998.0,20.6,21.5,21.1,21.3,21.7,20.8,88.0,85.8,88.3,89.7,88.1,90.4,4.3,5.3,6.3,13.7,9.8,14.6,206.4,250.2,163.2,125.8,180.3,228.4,,121600.0,,,,,,113020.0,,12997.999846130155,
2024-09-28,66680.0,1,22.4,82.8,0.7,203.2,121600.0,94020.0,109114.29,21186.87,21.2,20.6,21.5,20.7,21.5,21.2,87.1,88.0,85.8,92.3,89.2,88.0,8.2,4.3,5.3,18.3,7.9,8.5,222.4,206.4,250.2,114.8,139.1,173.5,,66680.0,,,,,,109114.28571428571,,21186.872395536855,
2024-09-29,111080.0,1,22.1,87.5,15.7,212.5,66680.0,94020.0,111551.43,20115.29,22.4,21.2,20.6,20.2,20.7,21.1,82.8,87.1,88.0,92.5,91.9,86.2,0.7,8.2,4.3,9.4,19.2,7.0,203.2,222.4,206.4,89.9,115.5,214.5,,111080.0,,,,,,111551.42857142857,,20115.29387354426,
