Ngày,Giá bán lẻ (Hà Nội),Giá bán lẻ (Hà Nội)_is_interpolated,Giá thu mua (Tiền Giang),Giá thu mua (Tiền Giang)_is_interpolated,temp,humidity,precip,solarradiation,Giá bán lẻ (Hà Nội)_lag1,Giá bán lẻ (Hà Nội)_lag7,Giá bán lẻ (Hà Nội)_roll_mean7,Giá bán lẻ (Hà Nội)_roll_std7,Giá thu mua (Tiền Giang)_lag1,Giá thu mua (Tiền Giang)_lag7,Giá thu mua (Tiền Giang)_roll_mean7,Giá thu mua (Tiền Giang)_roll_std7,temp_lag1,temp_lag2,temp_lag3,temp_lag7,temp_lag14,temp_lag30,humidity_lag1,humidity_lag2,humidity_lag3,humidity_lag7,humidity_lag14,humidity_lag30,precip_lag1,precip_lag2,precip_lag3,precip_lag7,precip_lag14,precip_lag30,solarradiation_lag1,solarradiation_lag2,solarradiation_lag3,solarradiation_lag7,solarradiation_lag14,solarradiation_lag30,price_retail,price_wholesale,spread,rm7_price_retail,rm30_price_retail,std7_price_retail,std30_price_retail,rm7_price_wholesale,rm30_price_wholesale,std7_price_wholesale,std30_price_wholesale
2024-09-01,18571.43,1,11000.0,1,26.5,92.4,29.0,144.9,18285.71,18000.0,18122.45,224.8,9660.0,11700.0,11371.43,1623.78,27.1,28.5,27.6,27.8,30.1,29.3,88.3,81.7,84.5,86.8,75.3,81.4,98.0,9.3,1.0,8.0,0.0,19.2,124.1,192.9,85.9,201.4,286.5,244.7,18571.43,11000.0,7571.43,,,,,,,,
2024-09-02,18857.14,1,12300.0,1,26.5,91.1,32.0,114.5,18571.43,18000.0,18244.9,347.14,11000.0,10180.0,11674.29,1561.01,26.5,27.1,28.5,27.8,30.0,28.2,92.4,88.3,81.7,85.3,77.9,86.9,29.0,98.0,9.3,3.0,0.3,1.7,144.9,124.1,192.9,195.5,275.9,227.9,18857.14,12300.0,6557.139999999999,,,,,,,,
2024-09-03,19142.86,1,12240.0,1,27.2,87.3,4.0,189.7,18857.14,18000.0,18408.16,462.38,12300.0,12100.0,11694.29,1568.26,26.5,26.5,27.1,27.6,29.4,27.1,91.1,92.4,88.3,88.7,78.4,89.7,32.0,29.0,98.0,20.0,0.1,20.7,114.5,144.9,124.1,117.6,277.8,178.5,19142.86,12240.0,6902.860000000001,,,,,,,,
2024-09-04,19428.57,1,14000.0,0,26.2,92.6,8.0,171.8,19142.86,18000.0,18612.24,557.66,12240.0,12000.0,11980.0,1798.52,27.2,26.5,26.5,27.4,29.3,28.2,87.3,91.1,92.4,89.5,79.8,83.9,4.0,32.0,29.0,11.0,3.0,4.8,189.7,114.5,144.9,140.7,247.7,207.0,19428.57,14000.0,5428.57,,,,,,,,
2024-09-05,19714.29,1,11420.0,1,27.9,87.1,1.1,190.4,19428.57,18000.0,18857.14,617.21,14000.0,14400.0,11554.29,1448.94,26.2,27.2,26.5,27.6,29.4,28.2,92.6,87.3,91.1,84.5,78.1,85.8,8.0,4.0,32.0,1.0,0.2,0.5,171.8,189.7,114.5,85.9,260.4,219.0,19714.29,11420.0,8294.29,,,,,,,,
2024-09-06,20000.0,0,10900.0,1,28.0,86.3,0.2,144.5,19714.29,18000.0,19142.86,617.21,11420.0,10260.0,11645.71,1371.8,27.9,26.2,27.2,28.5,28.3,29.0,87.1,92.6,87.3,81.7,84.2,82.3,1.1,8.0,4.0,9.3,0.1,12.9,190.4,171.8,189.7,192.9,187.3,205.6,20000.0,10900.0,9100.0,,,,,,,,
2024-09-07,20000.0,1,10620.0,1,28.3,87.2,5.0,185.8,20000.0,18285.71,19387.76,557.66,10900.0,9660.0,11782.86,1173.91,28.0,27.9,26.2,27.1,28.7,29.6,86.3,87.1,92.6,88.3,83.6,80.3,0.2,1.1,8.0,98.0,0.2,1.6,144.5,190.4,171.8,124.1,254.7,236.5,20000.0,10620.0,9380.0,19387.755714285715,,557.6574808027218,,11782.857142857143,,1173.9067862727188,
2024-09-08,20000.0,1,9440.0,1,28.0,87.5,5.5,204.5,20000.0,18571.43,19591.84,462.38,10620.0,11000.0,11560.0,1460.41,28.3,28.0,27.9,26.5,27.8,29.4,87.2,86.3,87.1,92.4,86.8,82.7,5.0,0.2,1.1,29.0,8.0,15.9,185.8,144.5,190.4,144.9,201.4,261.5,20000.0,9440.0,10560.0,19591.837142857144,,462.3854781714161,,11560.0,,1460.4109010822947,
2024-09-09,20000.0,1,12400.0,1,29.3,82.4,1.4,226.5,20000.0,18857.14,19755.1,347.14,9440.0,12300.0,11574.29,1469.32,28.0,28.3,28.0,26.5,27.8,30.0,87.5,87.2,86.3,91.1,85.3,80.5,5.5,5.0,0.2,32.0,3.0,2.0,204.5,185.8,144.5,114.5,195.5,260.1,20000.0,12400.0,7600.0,19755.102857142858,,347.1380980106841,,11574.285714285714,,1469.3179499670036,
2024-09-10,20000.0,0,10060.0,1,29.0,85.3,33.0,216.9,20000.0,19142.86,19877.55,224.8,12400.0,12240.0,11262.86,1534.29,29.3,28.0,28.3,27.2,27.6,30.0,82.4,87.5,87.2,87.3,88.7,79.3,1.4,5.5,5.0,4.0,20.0,8.0,226.5,204.5,185.8,189.7,117.6,257.1,20000.0,10060.0,9940.0,19877.55142857143,,224.7987546250014,,11262.857142857143,,1534.293695110927,
2024-09-11,20000.0,1,14000.0,0,27.5,89.1,6.0,176.1,20000.0,19428.57,19959.18,107.99,10060.0,14000.0,11262.86,1534.29,29.0,29.3,28.0,26.2,27.4,28.4,85.3,82.4,87.5,92.6,89.5,83.9,33.0,1.4,5.5,8.0,11.0,1.2,216.9,226.5,204.5,171.8,140.7,240.2,20000.0,14000.0,6000.0,19959.184285714287,,107.98822958346395,,11262.857142857143,,1534.293695110927,
2024-09-12,20000.0,1,12400.0,1,27.9,87.2,12.0,167.1,20000.0,19714.29,20000.0,0.0,14000.0,11420.0,11402.86,1594.55,27.5,29.0,29.3,27.9,27.6,29.4,89.1,85.3,82.4,87.1,84.5,79.9,6.0,33.0,1.4,1.1,1.0,0.1,176.1,216.9,226.5,190.4,85.9,265.1,20000.0,12400.0,7600.0,20000.0,,0.0,,11402.857142857143,,1594.5502426046273,
